Sheet 1,Sheet 2,Matches
BF_BS,BF_BS,Ð
BF_BS,BF_SS,359
BF_BS,BF_SB,127
BF_BS,BS_BB,515
BF_BS,SS_BB,220
BF_BS,SF_BB,299
BF_BS,SF_BS,265
BF_BS,SB_BB,100
BF_BS,BF_BB,184
BF_BS,SB_BS,437
BF_BS,SS_BS,137
BF_BS,SF_SB,211
BF_BS,SS_SB,150
BF_BS,SF_SS,136
BF_BS,SF_BF,296
BF_SS,BF_BS,359
BF_SS,BF_SS,Ð
BF_SS,BF_SB,100
BF_SS,BS_BB,209
BF_SS,SS_BB,152
BF_SS,SF_BB,144
BF_SS,SF_BS,167
BF_SS,SB_BB,66
BF_SS,BF_BB,170
BF_SS,SB_BS,196
BF_SS,SS_BS,70
BF_SS,SF_SB,111
BF_SS,SS_SB,170
BF_SS,SF_SS,150
BF_SS,SF_BF,158
BF_SB,BF_BS,127
BF_SB,BF_SS,100
BF_SB,BF_SB,Ð
BF_SB,BS_BB,80
BF_SB,SS_BB,52
BF_SB,SF_BB,70
BF_SB,SF_BS,78
BF_SB,SB_BB,41
BF_SB,BF_BB,91
BF_SB,SB_BS,44
BF_SB,SS_BS,27
BF_SB,SF_SB,71
BF_SB,SS_SB,32
BF_SB,SF_SS,58
BF_SB,SF_BF,56
BS_BB,BF_BS,515
BS_BB,BF_SS,209
BS_BB,BF_SB,80
BS_BB,BS_BB,Ð
BS_BB,SS_BB,464
BS_BB,SF_BB,793
BS_BB,SF_BS,190
BS_BB,SB_BB,171
BS_BB,BF_BB,224
BS_BB,SB_BS,462
BS_BB,SS_BS,149
BS_BB,SF_SB,349
BS_BB,SS_SB,174
BS_BB,SF_SS,143
BS_BB,SF_BF,313
SS_BB,BF_BS,220
SS_BB,BF_SS,152
SS_BB,BF_SB,52
SS_BB,BS_BB,464
SS_BB,SS_BB,Ð
SS_BB,SF_BB,420
SS_BB,SF_BS,99
SS_BB,SB_BB,108
SS_BB,BF_BB,145
SS_BB,SB_BS,225
SS_BB,SS_BS,74
SS_BB,SF_SB,235
SS_BB,SS_SB,163
SS_BB,SF_SS,99
SS_BB,SF_BF,168
SF_BB,BF_BS,299
SF_BB,BF_SS,144
SF_BB,BF_SB,70
SF_BB,BS_BB,793
SF_BB,SS_BB,420
SF_BB,SF_BB,Ð
SF_BB,SF_BS,253
SF_BB,SB_BB,182
SF_BB,BF_BB,437
SF_BB,SB_BS,296
SF_BB,SS_BS,84
SF_BB,SF_SB,594
SF_BB,SS_SB,155
SF_BB,SF_SS,365
SF_BB,SF_BF,338
SF_BS,BF_BS,265
